truck_id,truck_age,load_capacity_pounds,mileage_mpg,fuel_type
28641704,10,3000.0,22,diesel
18255500,9,6000.0,21,gas
33250272,9,15000.0,24,gas
12183762,7,10000.0,20,
26874710,8,3000.0,16,gas
41797401,9,4000.0,19,gas
21265684,10,4000.0,17,gas
25314663,10,15000.0,15,gas
29121332,9,4000.0,23,diesel
19289011,11,4000.0,19,gas
10495266,7,20000.0,22,diesel
14732208,10,6000.0,25,diesel
24034677,13,10000.0,21,
26911166,8,3000.0,21,diesel
68430851,10,15000.0,19,gas
25017099,7,6000.0,24,diesel
20482428,9,3000.0,24,diesel
31840617,10,3000.0,21,gas
32293070,11,6000.0,16,gas
32668232,11,6000.0,20,gas
26165649,11,3000.0,24,diesel
16013013,11,3000.0,25,diesel
21103543,9,3000.0,24,diesel
58330582,10,3000.0,19,gas
24929825,10,,21,gas
41046509,9,3000.0,22,diesel
39580514,9,6000.0,26,diesel
26459758,8,15000.0,25,diesel
15048376,9,10000.0,16,gas
29106045,12,10000.0,27,diesel
32255566,7,15000.0,16,gas
11973768,10,4000.0,25,diesel
80470212,8,6000.0,25,diesel
22112064,8,4000.0,17,gas
22239531,10,3000.0,17,gas
27585963,7,15000.0,22,diesel
93257833,11,10000.0,21,
95696710,6,15000.0,21,diesel
27668566,12,4000.0,27,diesel
15886277,11,3000.0,17,gas
26079111,6,3000.0,26,diesel
22913195,9,15000.0,17,gas
13439737,11,15000.0,15,gas
16640575,9,20000.0,21,diesel
10366123,7,6000.0,20,gas
14262671,12,15000.0,23,gas
99568033,3,15000.0,17,gas
20558404,8,3000.0,22,diesel
26511178,12,6000.0,20,diesel
25773008,9,4000.0,17,gas
14688558,8,4000.0,19,gas
14915064,9,3000.0,17,gas
57473533,8,3000.0,18,gas
26768431,11,15000.0,25,diesel
24964335,10,10000.0,16,gas
57182671,10,6000.0,24,diesel
30147233,9,4000.0,22,diesel
26768849,8,4000.0,22,diesel
40072775,10,3000.0,19,gas
32864873,7,6000.0,24,diesel
19571575,9,6000.0,18,gas
27565289,5,6000.0,22,gas
13603119,12,3000.0,24,diesel
31057269,10,15000.0,24,diesel
50812426,8,4000.0,24,diesel
14357029,9,6000.0,19,gas
12168173,9,15000.0,23,diesel
91955140,9,3000.0,26,diesel
76949042,10,15000.0,26,diesel
14560694,9,6000.0,19,gas
11189150,11,4000.0,21,diesel
31827682,9,4000.0,24,diesel
15506849,10,15000.0,26,diesel
32898016,14,6000.0,17,gas
26375094,12,,22,gas
31403868,9,4000.0,23,diesel
21680317,9,4000.0,26,diesel
26840608,10,6000.0,22,diesel
87277280,10,15000.0,20,diesel
16815307,8,4000.0,25,diesel
88231513,6,3000.0,17,gas
22748353,8,4000.0,25,diesel
18264020,9,15000.0,23,diesel
29433242,10,,18,gas
59960001,9,3000.0,23,diesel
27384735,8,4000.0,21,diesel
28641239,10,,21,diesel
61318546,8,4000.0,17,gas
25347670,14,3000.0,17,gas
21243568,8,15000.0,17,gas
24712768,14,3000.0,22,diesel
18273387,10,15000.0,23,diesel
31923822,7,20000.0,23,diesel
19112093,10,10000.0,15,gas
45849400,7,,26,diesel
95491489,10,10000.0,23,diesel
31562809,6,20000.0,23,diesel
77757333,10,3000.0,20,
33246891,10,6000.0,25,diesel
51527807,13,6000.0,19,gas
17787739,10,15000.0,17,gas
27935116,8,15000.0,21,gas
20832950,11,,20,gas
81965280,8,15000.0,17,gas
50632770,8,10000.0,23,diesel
13631150,8,4000.0,22,diesel
31692825,9,15000.0,27,diesel
59301367,9,6000.0,15,gas
38811305,7,15000.0,25,diesel
26210303,9,20000.0,24,diesel
17692634,10,10000.0,19,gas
10946672,11,20000.0,29,diesel
23110145,10,6000.0,24,diesel
63036432,11,6000.0,24,diesel
25951646,10,3000.0,20,gas
11911595,11,4000.0,20,diesel
12602955,10,3000.0,26,diesel
10491120,10,15000.0,21,gas
32501985,13,3000.0,28,diesel
88372671,10,3000.0,18,gas
12323896,11,15000.0,19,gas
11996989,13,3000.0,25,diesel
10140178,12,3000.0,23,diesel
30630049,10,,21,diesel
11275725,9,3000.0,25,diesel
18895478,9,10000.0,23,diesel
22305237,10,3000.0,24,diesel
27261804,5,4000.0,18,gas
71734543,7,10000.0,25,diesel
17142878,10,3000.0,20,gas
84718593,9,10000.0,20,gas
97021490,13,6000.0,21,diesel
12240406,12,3000.0,25,diesel
18591984,9,6000.0,16,gas
84769150,8,15000.0,16,gas
27887726,10,15000.0,21,gas
23679896,7,3000.0,25,diesel
18148503,10,4000.0,16,gas
25300316,8,6000.0,18,
78564988,11,3000.0,24,diesel
15673353,11,3000.0,17,gas
27677000,7,15000.0,19,
18663378,11,6000.0,25,diesel
57783233,10,10000.0,14,gas
67789320,13,15000.0,24,diesel
98891327,10,3000.0,28,diesel
18611599,9,,23,diesel
14840940,9,4000.0,22,diesel
29839726,10,20000.0,16,gas
83302529,10,,16,gas
24236441,12,6000.0,16,gas
31937037,15,15000.0,24,diesel
24859831,10,4000.0,22,diesel
83958550,10,3000.0,24,diesel
33788665,7,10000.0,25,diesel
66265520,12,10000.0,16,gas
76092602,12,15000.0,18,gas
27624262,9,10000.0,23,diesel
30458082,8,6000.0,17,gas
20409026,8,4000.0,22,diesel
32554054,11,15000.0,16,gas
16959470,9,3000.0,22,diesel
26946012,10,6000.0,26,diesel
39847672,14,6000.0,16,gas
25800303,9,6000.0,20,gas
13805911,11,15000.0,19,diesel
31454477,8,10000.0,21,diesel
20792581,10,15000.0,23,diesel
71137292,7,15000.0,17,gas
22786362,12,6000.0,22,diesel
31003220,9,15000.0,24,diesel
91771941,7,15000.0,24,diesel
15081964,9,3000.0,16,gas
29121693,8,10000.0,24,diesel
28775989,11,15000.0,27,diesel
12911518,9,6000.0,25,diesel
33107659,13,3000.0,17,gas
13524164,10,10000.0,25,diesel
21784492,11,6000.0,25,diesel
14232365,10,6000.0,21,diesel
44897730,11,10000.0,24,diesel
10822881,12,15000.0,18,gas
12642421,10,3000.0,25,diesel
27775623,10,6000.0,13,gas
28973978,8,3000.0,26,diesel
22458296,6,6000.0,17,gas
33867840,8,4000.0,24,diesel
18678032,9,15000.0,22,diesel
69417303,9,6000.0,24,diesel
25385693,12,15000.0,23,diesel
15771794,8,15000.0,19,gas
11370323,8,4000.0,23,diesel
13792231,10,20000.0,24,diesel
73474297,12,10000.0,18,gas
26367553,5,15000.0,19,gas
21071765,11,20000.0,18,gas
28006103,9,6000.0,21,diesel
25160188,6,10000.0,17,gas
19445339,7,10000.0,19,gas
98191873,7,15000.0,19,gas
62119001,9,20000.0,25,diesel
13779072,9,,17,gas
19167358,8,15000.0,23,diesel
19695271,13,3000.0,24,diesel
32516697,11,4000.0,28,diesel
22376424,7,6000.0,12,gas
53279386,10,3000.0,18,gas
30423832,9,4000.0,21,diesel
24136996,11,10000.0,17,gas
21539260,11,4000.0,20,diesel
32772853,8,10000.0,25,diesel
13068930,11,3000.0,22,diesel
14223048,12,3000.0,23,diesel
35475873,9,,19,gas
33994055,11,6000.0,16,gas
29299682,12,15000.0,16,gas
27188149,7,3000.0,23,diesel
64144761,10,10000.0,25,diesel
10363832,11,20000.0,26,diesel
22695998,9,20000.0,16,gas
75452905,9,4000.0,16,gas
14698380,11,3000.0,19,gas
48116553,11,6000.0,25,diesel
12156651,11,15000.0,19,gas
14907586,12,15000.0,22,
13531857,7,15000.0,17,gas
20067958,11,3000.0,19,gas
11098873,11,15000.0,20,gas
15371035,8,15000.0,24,diesel
12933975,9,20000.0,25,diesel
23562847,7,4000.0,18,gas
22126955,11,15000.0,23,diesel
98614931,8,4000.0,22,
23471751,10,15000.0,16,gas
89203390,12,6000.0,17,gas
11548897,13,15000.0,24,diesel
68963717,10,10000.0,24,diesel
33710423,6,3000.0,22,diesel
32206692,9,3000.0,21,diesel
30203269,10,3000.0,22,diesel
42092993,9,6000.0,18,gas
14058250,13,4000.0,23,diesel
29569473,9,3000.0,18,gas
48415653,11,10000.0,21,diesel
24141016,12,15000.0,25,diesel
31807145,12,3000.0,15,gas
20058612,10,3000.0,24,diesel
17407709,13,15000.0,18,gas
33677790,11,3000.0,24,diesel
81243042,11,10000.0,18,
32778747,7,4000.0,22,diesel
20958889,8,3000.0,25,diesel
41638642,10,4000.0,18,gas
72777903,12,3000.0,28,diesel
16965717,8,3000.0,20,gas
30302867,10,3000.0,24,diesel
26923239,9,3000.0,23,diesel
14638240,11,,20,gas
10248113,12,3000.0,25,diesel
31642729,8,6000.0,27,diesel
28085803,10,3000.0,13,gas
23736018,9,15000.0,24,diesel
19980822,9,10000.0,16,gas
46619422,12,,27,diesel
15821176,9,6000.0,26,diesel
33171837,10,6000.0,16,gas
86730900,8,15000.0,23,diesel
89718833,8,20000.0,22,diesel
29965111,7,3000.0,23,diesel
23496767,10,4000.0,24,diesel
30822651,9,4000.0,18,gas
82942283,8,15000.0,16,gas
14625993,10,4000.0,16,gas
10042923,7,15000.0,18,gas
90225505,10,6000.0,15,gas
74499001,12,15000.0,21,gas
33972412,10,3000.0,24,diesel
16991743,11,,24,diesel
11248098,6,4000.0,23,diesel
10489983,9,10000.0,13,gas
12823463,9,15000.0,24,diesel
21597980,6,4000.0,24,diesel
26114011,7,4000.0,22,diesel
11257008,8,10000.0,21,gas
12137340,8,15000.0,26,diesel
17386890,13,4000.0,20,gas
15302925,7,6000.0,21,diesel
35580954,10,6000.0,16,
14316933,11,15000.0,14,gas
42486624,11,6000.0,23,diesel
68645374,8,6000.0,16,gas
26142889,12,10000.0,18,gas
22811669,12,4000.0,16,gas
29780011,15,4000.0,19,gas
49158022,7,20000.0,21,diesel
22171671,8,20000.0,25,diesel
25301979,7,6000.0,23,diesel
16550307,11,4000.0,22,diesel
27061072,4,4000.0,17,gas
21531217,6,15000.0,19,gas
31534922,9,10000.0,24,diesel
18489180,4,15000.0,20,gas
47488840,10,4000.0,15,gas
74054998,8,3000.0,16,gas
23138031,6,6000.0,16,gas
18611501,11,3000.0,14,gas
15567425,7,15000.0,21,diesel
10990009,10,4000.0,16,gas
31120899,9,3000.0,20,diesel
10962127,13,3000.0,21,diesel
87511111,11,3000.0,22,diesel
29613698,7,20000.0,24,diesel
47024382,8,6000.0,21,diesel
18463805,6,10000.0,18,gas
31874571,8,3000.0,23,diesel
21162393,8,10000.0,16,gas
19970766,11,3000.0,21,diesel
24806622,11,20000.0,29,diesel
79515526,9,6000.0,19,gas
23244180,10,20000.0,20,diesel
20339561,9,6000.0,22,diesel
31028955,7,6000.0,25,diesel
20260455,11,3000.0,17,gas
60567423,9,10000.0,19,gas
44329842,8,4000.0,25,diesel
86779795,13,4000.0,24,diesel
59856374,7,15000.0,21,diesel
24763016,10,6000.0,18,gas
18945021,7,3000.0,22,diesel
89718106,10,4000.0,22,diesel
28753771,7,,17,gas
29077811,9,15000.0,27,diesel
28161729,9,3000.0,23,gas
30312694,9,3000.0,23,diesel
12526607,8,4000.0,20,diesel
10784487,8,15000.0,18,gas
24681381,11,15000.0,23,diesel
28524845,7,3000.0,26,diesel
30137411,9,10000.0,15,gas
19194234,7,20000.0,21,diesel
25976643,7,4000.0,16,gas
12814755,8,15000.0,25,diesel
31297189,11,3000.0,20,gas
20516509,3,6000.0,23,diesel
16311717,8,3000.0,24,diesel
21569652,11,20000.0,22,diesel
26292563,8,10000.0,17,gas
22554932,9,20000.0,15,gas
25536738,11,4000.0,17,gas
23309143,7,6000.0,27,diesel
33516218,11,10000.0,17,gas
27121057,8,6000.0,15,gas
14841519,13,3000.0,17,gas
79540804,10,3000.0,24,diesel
16654459,9,4000.0,19,gas
40030230,9,20000.0,20,gas
57362582,9,6000.0,21,diesel
31057971,6,10000.0,28,diesel
78446029,10,,24,diesel
81492294,11,4000.0,20,diesel
94792980,6,15000.0,21,diesel
32628678,9,6000.0,26,diesel
29956808,8,6000.0,27,diesel
18180423,12,10000.0,24,diesel
25155294,9,15000.0,28,diesel
31139762,5,20000.0,17,gas
12492275,9,3000.0,18,gas
22809517,13,10000.0,22,diesel
31770381,11,4000.0,17,gas
14310127,11,4000.0,23,diesel
11699550,13,6000.0,22,diesel
75500652,14,,22,diesel
32599168,9,10000.0,18,gas
54123965,10,15000.0,16,gas
29596705,10,15000.0,17,gas
57599938,10,3000.0,26,diesel
16132858,8,6000.0,18,
18318087,13,15000.0,17,gas
18443612,12,4000.0,24,diesel
11244695,13,,15,gas
13727292,10,3000.0,22,gas
68559076,7,6000.0,28,diesel
55617675,10,3000.0,18,gas
23007785,8,3000.0,19,gas
33834430,12,3000.0,15,gas
29401560,8,3000.0,17,gas
10635114,5,15000.0,14,gas
22182749,9,10000.0,20,gas
24216205,9,3000.0,21,diesel
25377824,9,3000.0,17,gas
14073923,9,15000.0,19,gas
27609059,14,20000.0,22,diesel
33585946,8,4000.0,23,diesel
32274242,9,15000.0,22,diesel
21098319,9,6000.0,26,diesel
81187112,12,3000.0,23,diesel
33420545,12,6000.0,14,gas
10502616,9,3000.0,24,
49603540,9,3000.0,19,gas
29624480,8,6000.0,17,gas
14882723,10,15000.0,13,gas
93428273,9,20000.0,18,gas
24628550,7,3000.0,26,diesel
29066789,5,3000.0,24,diesel
28295338,12,10000.0,22,diesel
13831242,12,10000.0,19,gas
25050875,8,3000.0,22,diesel
28817628,8,20000.0,22,diesel
19924593,11,3000.0,15,gas
25117738,9,15000.0,16,gas
20252337,9,10000.0,24,diesel
17387364,9,4000.0,27,diesel
11564121,12,4000.0,19,gas
44799976,12,10000.0,26,diesel
11316377,9,15000.0,19,gas
95480943,8,6000.0,15,gas
13322827,11,3000.0,23,diesel
22443942,14,10000.0,17,gas
32864710,12,4000.0,20,diesel
29178779,10,15000.0,29,
10180743,11,6000.0,26,diesel
72146642,10,6000.0,17,
21125310,6,4000.0,23,diesel
40423910,8,4000.0,28,diesel
60913739,11,4000.0,15,gas
19220150,7,20000.0,20,gas
23622109,8,10000.0,26,diesel
66683794,5,15000.0,24,diesel
17884689,7,6000.0,28,diesel
31766919,7,15000.0,17,gas
58866984,11,6000.0,27,diesel
25315839,10,6000.0,17,gas
18561890,7,,20,diesel
26749209,11,3000.0,21,gas
16497961,12,6000.0,17,gas
31807947,8,3000.0,22,diesel
54036321,10,15000.0,24,diesel
32865089,13,4000.0,16,gas
65974657,8,6000.0,26,diesel
20482407,7,4000.0,25,diesel
11942046,6,4000.0,16,gas
28581832,7,10000.0,23,diesel
12283835,10,15000.0,16,gas
30434751,8,6000.0,25,diesel
28760660,11,15000.0,21,diesel
51330131,6,,26,diesel
24882999,9,15000.0,24,diesel
13246528,10,3000.0,22,diesel
32053728,9,10000.0,22,diesel
88819781,8,15000.0,19,gas
94934565,11,4000.0,18,gas
33326175,7,10000.0,25,diesel
18940617,13,,24,diesel
32048264,8,10000.0,19,
13260637,11,4000.0,24,diesel
17277291,11,3000.0,22,diesel
47199758,9,3000.0,23,diesel
19301208,11,3000.0,17,gas
17017247,10,20000.0,22,diesel
26803776,7,3000.0,15,gas
94574989,9,6000.0,25,diesel
28188509,10,6000.0,25,diesel
25704375,9,20000.0,22,diesel
29432775,10,20000.0,17,gas
91982850,11,4000.0,17,gas
43523687,12,3000.0,18,gas
37595820,10,15000.0,18,gas
13999746,13,15000.0,19,gas
29843883,10,3000.0,22,diesel
25618223,10,10000.0,19,gas
28971650,8,4000.0,16,gas
58546151,12,6000.0,24,diesel
20661206,9,15000.0,27,diesel
11845171,12,10000.0,16,gas
83770030,6,4000.0,11,gas
31293981,7,4000.0,17,gas
33391952,7,6000.0,23,diesel
30142509,15,4000.0,17,gas
78735626,13,15000.0,19,gas
13193058,12,4000.0,22,diesel
30723415,8,4000.0,18,gas
21032614,11,10000.0,19,gas
17945973,11,4000.0,19,gas
21705793,14,3000.0,22,diesel
13641354,8,15000.0,26,diesel
30390425,9,6000.0,17,gas
13196565,11,3000.0,22,diesel
16246545,10,4000.0,18,gas
32388815,9,15000.0,21,diesel
22007337,12,10000.0,24,diesel
29884530,9,4000.0,17,gas
19095731,5,4000.0,16,
98052326,10,6000.0,27,diesel
11835599,10,4000.0,24,diesel
45254942,9,3000.0,21,diesel
28866540,11,3000.0,24,gas
52804295,11,10000.0,14,gas
25853258,8,3000.0,22,diesel
63170233,7,4000.0,22,diesel
20539252,8,3000.0,24,diesel
30937896,8,20000.0,17,
13701678,13,3000.0,27,diesel
29336991,9,3000.0,16,gas
32557240,11,4000.0,24,diesel
26346569,9,3000.0,24,diesel
14433691,7,3000.0,16,gas
17496529,12,3000.0,23,diesel
25374393,11,20000.0,17,
20283153,8,10000.0,17,gas
29284580,9,4000.0,16,gas
26760108,8,10000.0,14,gas
30898353,6,15000.0,26,diesel
18493697,10,4000.0,26,diesel
57580910,10,6000.0,17,gas
32111802,9,6000.0,17,gas
14969134,8,10000.0,26,diesel
24322464,12,15000.0,25,diesel
19945346,9,15000.0,23,diesel
13883923,5,15000.0,23,diesel
82081587,11,15000.0,24,diesel
18204175,7,20000.0,17,gas
27063055,12,15000.0,24,diesel
88461049,7,6000.0,21,diesel
66822391,11,6000.0,12,gas
15436397,8,10000.0,23,diesel
20205682,8,3000.0,24,diesel
85416403,11,6000.0,16,gas
26716985,7,15000.0,19,
26225733,10,3000.0,21,diesel
20698203,11,4000.0,16,gas
19424012,11,6000.0,17,gas
13734459,6,15000.0,21,diesel
32156165,10,3000.0,17,gas
24670198,9,3000.0,18,gas
69327588,10,3000.0,22,diesel
13006940,11,15000.0,23,diesel
81068169,11,15000.0,23,diesel
28450066,10,3000.0,22,gas
47398395,12,4000.0,22,diesel
24624497,11,4000.0,18,gas
33892826,9,3000.0,17,gas
33145456,10,4000.0,24,diesel
16613236,6,15000.0,18,gas
25463189,9,15000.0,19,gas
18447837,9,6000.0,19,gas
30619790,11,20000.0,19,gas
11663552,7,3000.0,24,diesel
17984100,9,3000.0,24,diesel
26411380,14,6000.0,23,diesel
22422306,10,15000.0,23,diesel
33573400,10,3000.0,17,gas
82741473,10,6000.0,29,diesel
24746768,15,6000.0,21,gas
15533946,6,15000.0,18,
27743523,9,15000.0,22,diesel
77040880,8,6000.0,20,diesel
70128697,10,4000.0,23,diesel
10299019,8,15000.0,17,gas
24233814,7,,25,diesel
10231357,10,10000.0,18,gas
20194392,10,3000.0,21,gas
30548837,11,3000.0,26,diesel
33748476,12,3000.0,19,gas
26767469,6,10000.0,16,gas
21097795,12,20000.0,18,gas
12211361,8,10000.0,23,diesel
17787573,7,15000.0,25,diesel
16368426,8,15000.0,16,gas
21394134,7,,25,diesel
49884962,7,,25,diesel
10929164,10,3000.0,26,diesel
34012654,12,20000.0,26,diesel
19790058,9,3000.0,16,gas
66668483,9,6000.0,21,gas
18721262,12,15000.0,22,diesel
25691185,8,10000.0,27,diesel
11850429,9,10000.0,27,diesel
71897727,9,6000.0,19,gas
33582463,9,6000.0,15,gas
24445769,14,6000.0,22,diesel
18899925,10,3000.0,24,diesel
38275836,11,10000.0,17,gas
26852960,10,3000.0,19,gas
17077324,12,,18,gas
96337481,10,6000.0,25,diesel
14109119,13,4000.0,26,diesel
31870298,9,20000.0,19,gas
18884690,12,6000.0,19,gas
32304949,11,10000.0,19,gas
31833859,6,10000.0,18,gas
22192218,9,15000.0,20,gas
26393061,11,4000.0,24,diesel
28754860,12,10000.0,25,diesel
20523896,11,6000.0,23,diesel
13426754,9,4000.0,21,diesel
32064593,12,10000.0,17,gas
32464396,10,3000.0,19,gas
21597433,10,20000.0,22,diesel
17779800,11,4000.0,24,diesel
92322431,10,6000.0,23,diesel
21983131,12,10000.0,22,diesel
55576857,8,3000.0,23,diesel
25470787,10,3000.0,16,gas
21016823,7,15000.0,26,diesel
26730938,11,4000.0,24,diesel
11321137,10,3000.0,19,gas
13363106,9,20000.0,19,gas
16134175,9,15000.0,20,diesel
25812199,10,6000.0,24,diesel
43629979,9,3000.0,20,gas
